15248	10	17919
15248	10	16616
15248	10	21438
15248	10	17699
15248	10	17548
15248	10	21583
15248	10	19645
15248	10	17770
15248	10	18548
15248	10	18061
15248	10	19941
15248	10	20448
15248	10	16902
15248	10	19522
15248	10	19422
15248	10	16749
15248	10	19727
15248	10	18769
15248	10	16503
15248	10	17547
14220	10	17753
14220	10	20233
14220	10	17849
14220	10	20735
14220	10	21561
14220	10	17106
14220	10	21550
14220	10	19268
14220	10	21149
14220	10	19439
14220	10	20627
14220	10	18941
14220	10	21727
14220	10	21493
14220	10	17489
14220	10	19384
14220	10	21704
14220	10	17151
14220	10	21450
14220	10	19811
9598	10	20899
9598	10	18342
9598	10	19455
9598	10	21605
9598	10	16643
9598	10	18677
9598	10	19964
9598	10	17482
9598	10	19519
9598	10	21446
9598	10	17449
9598	10	19146
9598	10	20221
9598	10	16809
9598	10	17419
9598	10	18464
9598	10	18859
9598	10	21392
9598	10	19860
9598	10	21231
10885	10	18064
10885	10	16858
10885	10	17862
10885	10	18399
10885	10	17741
10885	10	19196
10885	10	19134
10885	10	17407
10885	10	21337
10885	10	17312
10885	10	18867
10885	10	20822
10885	10	21366
10885	10	16779
10885	10	17201
10885	10	18144
10885	10	17583
10885	10	21563
10885	10	16780
10885	10	19750
14361	10	20295
14361	10	20253
14361	10	19878
14361	10	19825
14361	10	20288
14361	10	20694
14361	10	17974
14361	10	18358
14361	10	17868
14361	10	18330
14361	10	17523
14361	10	21416
14361	10	19119
14361	10	17102
14361	10	20014
14361	10	21766
14361	10	16560
14361	10	20942
14361	10	19120
14361	10	18553
14420	10	18720
14420	10	21575
14420	10	18922
14420	10	18358
14420	10	20511
14420	10	20215
14420	10	19093
14420	10	21172
14420	10	17354
14420	10	18102
14420	10	21828
14420	10	17666
14420	10	16710
14420	10	18737
14420	10	18211
14420	10	20880
14420	10	17033
14420	10	18758
14420	10	21522
14420	10	19660
8969	10	20600
8969	10	16736
8969	10	21729
8969	10	19923
8969	10	21631
8969	10	17759
8969	10	18815
8969	10	17470
8969	10	19725
8969	10	18730
8969	10	18975
8969	10	18347
8969	10	20718
8969	10	20831
8969	10	21698
8969	10	18418
8969	10	18774
8969	10	16842
8969	10	17388
8969	10	19908
893	10	20836
893	10	21710
893	10	19529
893	10	21135
893	10	21055
893	10	17455
893	10	18729
893	10	18818
893	10	20137
893	10	17135
893	10	17890
893	10	19816
893	10	19149
893	10	18232
893	10	20303
893	10	18173
893	10	20149
893	10	17690
893	10	19313
893	10	18338
14344	10	17068
14344	10	18498
14344	10	19426
14344	10	20228
14344	10	20788
14344	10	19129
14344	10	18898
14344	10	19928
14344	10	19510
14344	10	20648
14344	10	20424
14344	10	17185
14344	10	17720
14344	10	19896
14344	10	18964
14344	10	18466
14344	10	20983
14344	10	18725
